loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,grade,annual_inc,issue_d,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,term_ 36 months,term_ 60 months,emp_length_1 year,emp_length_10+ years,emp_length_2 years,emp_length_3 years,emp_length_4 years,emp_length_5 years,emp_length_6 years,emp_length_7 years,emp_length_8 years,emp_length_9 years,emp_length_< 1 year,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
25000,25000,24726.0384,0.1273,839.16,2,90000,0,15.55,0,0,6,0,52344,0.86,23,0,0,0,30211.68496,29852.57,5211.68,0,44,931.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,10000,9975,0.1311,337.45,2,40000,0,17.07,0,1,10,0,6845,0.299,17,0,0,0,1012.35,1009.82,319.42,0,1,337.45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12000,12000,12000,0.1496,415.76,3,102031,0,13.23,0,1,12,0,16597,0.946,20,0,0,0,14969.35008,14969.35,2969.35,0,44,462.02,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7000,7000,6750,0.183,254.13,5,40320,0,6.82,0,2,3,0,6710,0.959,7,0,0,0,9330.431291,8997.2,2330.43,0,33,2202.72,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9975,9975,9950,0.1311,336.61,2,46000,0,6.87,1,0,5,0,0,0,18,0,0,0,10096.83,10071.52,121.83,0,1,4.4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13200,13200,11217.23837,0.0788,412.9,0,44248,0,6.16,0,0,7,0,5886,0.225,14,0,0,0,14705.94369,12478.2,1505.94,0,29,2399.83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15000,15000,14950,0.1385,511.56,2,90000,0,15.68,1,0,10,0,20759,0.786,17,0,0,0,18417.02509,18355.64,3417.01,0,44,531.31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,10000,9880.207323,0.1793,361.18,4,72000,0,4.97,0,0,6,0,2664,0.987,18,0,0,0,13003.45502,12826.63,3003.46,0,44,379.74,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14000,14000,13852.22782,0.1459,482.51,3,60000,0,19.26,0,0,4,0,19147,0.87,14,0,0,0,16712.30644,16514.86,2712.31,0,27,7076.07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2500,2500,2500,0.0639,76.51,0,92500,0,5.29,0,0,8,0,3947,0.101,30,0,0,0,2646.412374,2646.41,146.41,0,18,1730.09,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6500,6500,5993.565687,0.0751,202.22,0,44000,0,18.55,0,2,12,0,279,0.017,51,0,0,0,7276.228922,6679.01,776.23,0,43,619.67,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.1645,176.89,4,73000,0,0.2,0,0,2,0,401,0.573,10,0,0,0,5595.434137,5595.43,595.43,0,27,15.74,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000,15000,13767.23773,0.0788,469.21,0,60000,0,22.54,0,0,7,0,3309,0.099,15,0,0,0,16892.45777,15487.9,1892.46,0,44,492.01,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10000,10000,10000,0.1422,342.85,2,30500,0,12.24,0,0,4,0,13667,0.833,6,0,0,0,12343.51186,12343.51,2343.51,0,44,373.58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,6000,4975,0.0714,185.64,0,54548,0,7.17,0,0,5,0,2357,0.134,13,0,0,0,6452.465729,5350.17,452.47,0,27,11.02,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7000,7000,6062.370474,0.0751,217.77,0,38400,0,6.44,0,3,13,0,2149,0.059,33,0,0,0,7838.615638,6765.46,838.62,0,36,451.84,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7000,7000,5604.429105,0.0751,217.77,0,110000,0,18.83,0,1,13,0,1771,0.023,22,0,0,0,7644.529157,6094.57,644.53,0,28,3017.38,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3000,3000,3000,0.1422,102.86,2,50000,0,3.41,0,0,4,0,1306,0.544,6,0,0,0,3702.908398,3702.91,702.91,0,44,113.25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11500,11500,11475,0.1422,394.27,2,32000,0,23.1,0,2,8,0,17215,0.916,14,0,0,0,14166.77098,14135.97,2666.77,0,39,1588.21,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3600,3600,3600,0.0988,115.96,1,26400,0,15.41,0,0,7,0,12019,0.939,13,0,0,0,4213.666321,4213.67,613.67,0,42,48.37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3200,3200,2700,0.0714,99.01,0,20000,0,11.1,0,1,6,0,684,0.088,12,0,0,0,3382.744438,2854.19,182.74,0,12,2394.03,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18000,18000,17744.20002,0.1062,586.08,1,80000,0,4.33,0,4,10,0,27361,0.302,31,0,0,0,20823.23876,20500.87,2823.24,0,29,6194.53,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20000,20000,19900,0.1311,674.9,2,125000,0,16.09,0,0,7,0,95305,0.848,18,0,0,0,21953.34446,21843.58,1953.34,0,19,15891.42,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6400,6400,5593.894455,0.0988,206.15,1,90000,0,13.68,0,0,12,0,22148,0.35,16,0,0,0,7421.905182,6455.67,1021.91,0,44,220.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7000,7000,6725,0.1459,241.26,3,35000,0,8.71,0,0,7,0,387,0.149,9,0,0,0,7750.477085,7445.99,750.48,0,18,784.14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25000,25000,23746.40434,0.1062,814,1,59000,0,0.53,0,1,6,0,653,0.012,15,0,0,0,28197.86222,26763.58,3197.86,0,31,8829.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25000,25000,22165.98811,0.1645,884.44,4,73163.68,0,17.94,2,0,6,1,0,0,29,0,0,0,31835.08276,27860.95,6835.08,0,44,872.25,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7500,7500,7475,0.1136,246.84,1,31600,0,5.16,0,2,4,1,562,0.094,6,0,0,0,8886.882948,8857.26,1386.88,0,44,264.36,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4000,4000,3950,0.1136,131.65,1,21000,0,22.92,0,1,8,0,2744,0.331,11,0,0,0,4308.437434,4254.58,308.44,0,15,3258.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5600,5600,5450,0.1025,181.36,1,40000,0,12.9,0,2,11,0,2047,0.353,26,0,0,0,6540.007395,6364.83,940.01,0,39,765.21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3000,3000,2975,0.1533,104.49,3,25000,0,0.72,0,2,14,0,540,0.771,16,0,0,0,3749.014616,3717.77,749.01,0,40,512.29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4750,4750,4725,0.1062,154.66,1,24000,0,24.9,1,1,10,0,4946,0.196,22,0,0,0,5568.424796,5539.12,818.42,0,44,169.75,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000,5000,4062.370474,0.0751,155.55,0,40000,0,17.52,0,5,15,0,5450,0.118,44,0,0,0,5565.356125,4496.41,565.36,0,35,1375.96,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8000,8000,8000,0.1422,274.28,2,134000,0,17.54,0,1,19,0,65951,0.689,47,0,0,0,9874.428598,9874.43,1874.43,0,36,305.74,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000,25000,21153.61059,0.1136,822.78,1,82000,0,17.15,0,0,8,0,29058,0.674,27,0,0,0,14628.31,13815.56,3229.98,0,22,822.78,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4000,4000,4000,0.1422,137.14,2,23000,0,24.73,0,1,4,0,1562,0.679,4,0,0,0,4937.176985,4937.18,937.18,0,44,149.77,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7500,7500,6912.372161,0.0751,233.32,0,74400,0,15.79,0,1,8,0,21033,0.561,20,0,0,0,8399.703936,7718.43,899.7,0,44,250.85,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,12000,11692.23743,0.0788,375.37,0,50000,0,19.75,0,0,11,0,3379,0.252,20,0,0,0,13065.5754,12706.46,1065.58,0,22,7066.67,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16750,16750,15945.93005,0.0988,539.53,1,40056,0,10.25,0,1,10,0,18696,0.435,25,0,0,0,19277.1806,18329.06,2527.18,0,34,2421.44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.1422,171.43,2,16800,0,4.43,0,1,3,0,458,0.218,3,0,0,0,3600.03,3600.03,938.88,0,27,171.43,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1925,1925,1925,0.1099,63.02,1,27350,0,4.78,0,1,6,0,4011,0.853,13,0,0,0,2268.73768,2268.74,343.74,0,44,73,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,10000,10000,0.1136,329.12,1,200000,0,8.94,0,1,10,0,22879,0.715,18,0,0,0,11840.09299,11840.09,1840.09,0,43,993.97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5000,5000,4500,0.0751,155.55,0,119000,0,5.1,0,0,5,0,12,0.002,36,0,0,0,5259.91967,4733.93,259.92,0,19,2232.54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8000,8000,7850,0.1099,261.89,1,89000,0,19.02,0,0,15,0,26339,0.407,23,0,0,0,9428.302786,9251.52,1428.3,0,44,294.11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17000,17000,16900,0.1385,579.77,2,80000,0,15.12,0,0,7,0,19655,0.349,13,0,0,0,20639.63646,20518.23,3639.64,0,35,5013.19,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9000,9000,9000,0.1099,294.62,1,48960,0,23.41,0,1,6,0,20116,0.633,9,0,0,0,10591.21846,10591.22,1591.22,0,39,1195.26,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000,25000,14750,0.1062,814,1,69996,0,18.62,0,0,10,0,15859,0.176,20,0,0,0,26248.50044,15486.78,1248.5,0,9,22183.53,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,10000,10000,0.1062,325.6,1,60132,0,22.07,0,2,3,0,28,0.003,16,0,0,0,11706.00069,11706,1706,0,39,1308.17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8000,8000,7950,0.0988,257.69,1,57000,0,7.47,0,0,4,0,11924,0.562,27,0,0,0,9163.849703,9106.57,1163.85,0,29,2738.84,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19000,19000,18747.20175,0.1062,618.64,1,80004,0,9.03,0,1,6,0,19096,0.394,17,0,0,0,22272.77,21953.68,3272.77,0,44,660.19,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8000,8000,7850,0.1136,263.29,1,46000,0,4.54,0,1,6,0,5326,0.75,8,0,0,0,9479.324043,9301.59,1479.32,0,44,281.15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4000,4000,4000,0.1348,135.7,2,82000,0,13,0,0,5,0,14560,0.687,13,0,0,0,4841.684173,4841.68,841.68,0,43,128.09,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000,10000,10000,0.1904,366.78,5,96000,0,20.77,1,1,17,0,22619,0.67,23,0,0,0,13229.22098,13229.22,3210.88,18.34,42,30.88,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4750,4750,4750,0.1459,163.71,3,14400,0,11.92,0,1,2,0,937,0.669,8,0,0,0,1938.83,1938.83,697.7,0,17,100,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9000,9000,9000,0.1422,308.56,2,72000,0,17.3,0,2,7,0,10689,0.869,23,0,0,0,10837.94991,10837.95,1837.95,0,32,3761.34,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10500,10500,10450,0.0751,326.65,0,29000,0,7.24,0,0,9,0,4124,0.15,24,0,0,0,11758.17323,11702.18,1258.17,0,36,683.74,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12300,12300,12275,0.0788,384.75,0,56864,0,22.14,0,2,18,0,10666,0.15,47,0,0,0,13851.79203,13823.64,1551.79,0,44,402.11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3000,3000,3000,0.1459,103.4,3,48876,0,19.59,0,2,8,0,6941,0.62,11,0,0,0,3718.786944,3718.79,718.79,0,43,311.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25000,25000,24888.96,0.1062,814,1,156600,0,14.45,0,1,20,0,87631,0.423,33,0,0,0,27746.84879,27614.77,2746.85,0,23,34.68,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5325,5325,5325,0.1459,183.53,3,39300,0,12.73,0,3,11,0,8072,0.731,23,0,0,0,6529.726597,6529.73,1204.73,0,35,1581.05,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12000,12000,12000,0.1062,390.72,1,37392,0,23.04,0,0,6,0,8141,0.797,14,0,0,0,14067.03909,14067.04,2067.04,0,44,416.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
